Row Labels,Average of Price ,Average of Max resolution,Average of Effective pixels,Average of Zoom tele (T),Average of Zoom wide (W)
Agfa,351.86,1161,0.43,72.00,40.57
1997,179.00,1024,0.00,114.00,38.00
ePhoto 1280,179.00,1024,0.00,114.00,38.00
1998,179.00,1280,1.00,114.00,38.00
ePhoto 1680,179.00,1280,1.00,114.00,38.00
1999,582.33,1195,0.33,60.00,37.33
ePhoto CL30,269.00,1152,0.00,35.00,35.00
ePhoto CL30 Clik!,1299.00,1152,0.00,43.00,43.00
ePhoto CL50,179.00,1280,1.00,102.00,34.00
2000,179.00,640,0.00,45.00,45.00
ePhoto CL18,179.00,640,0.00,45.00,45.00
2001,179.00,1600,1.00,51.00,51.00
ePhoto CL45,179.00,1600,1.00,51.00,51.00
Canon,682.09,2623,5.27,110.62,29.78
Casio,270.27,2364,4.33,115.59,37.19
Contax,549.00,2800,5.00,52.50,17.50
Epson,529.67,1702,2.07,70.20,33.80
Fujifilm,297.38,2559,4.11,129.30,33.99
HP,179.00,2317,4.11,105.13,36.96
JVC,14.00,2032,3.00,86.00,37.00
Kodak,130.60,2370,4.38,114.82,30.74
Kyocera,893.67,2193,3.47,139.13,36.07
Leica,317.82,2851,5.64,108.45,26.27
Nikon,618.00,2650,5.27,103.90,29.63
Olympus,639.00,2451,4.57,129.07,33.61
Panasonic,907.18,2705,5.47,194.53,32.29
Pentax,279.00,2659,5.24,106.88,31.78
Ricoh,603.15,2495,4.62,121.08,31.54
Samsung,209.37,2815,6.02,112.65,33.72
Sanyo,566.50,1828,2.13,95.63,36.13
Sigma,809.00,2454,3.50,7.00,7.00
Sony,517.10,2304,4.16,146.65,36.01
Toshiba,149.00,1842,2.11,87.67,37.72
Grand Total,457.38,2475,4.60,121.53,32.96
